file_name,text
access-data-source-admin.png,the data source administrator is a software that is used to manage data from the data source.
access-macros.png,this is a screenshot of the windows number
bitbucket-create-repository.png,a screenshot of the website
blender-editor.jpg,a video editing tool in progress
blender-editor2.png,the base layer is used to create a triangle
excel-advanced-filter.png,a screenshot of a cell phone description generated with very high confidence
excel-convert-dialog.jpeg,a screenshot of the text to columns wizard
excel-filters.png,a screenshot of the text box
excel-menu.png,a screenshot of the document description automatically generated
excel-old.jpg,a screenshot of the data sheet
excel-pivottable-dialog.jpg,select the data that you want to analyze the data.
excel-pivottable-empty.jpg,a screenshot showing how to set up a table in a table form
excel-spreadsheet-small.png,a screenshot showing how to make numbers in excel
excel-spreadsheet.png,a screenshot of a cell phone description generated with very high confidence
gimp-editor-old.png,the text is in different languages
gimp-editor.png,adding the text to the background
gmail-message.png,a screenshot of the new message menu.
hue-hiveql-editor.png,a screenshot of the data center page.
jira-kanban.jpg,a screenshot of the software
krita-brust-editor.png,a screenshot of the text editor in the text editor
libreoffice-base-wizard.png,a screenshot showing the table settings in the table settings.
libreoffice-editor.jpg,this is a document
lives-editor.jpg,this is a video
oracle-fusion.jpg,this is a screenshot of the software.
outlook-export-dialog.png,"select the values from the source file on the left, and drop them on the appropriate location field on the right."
outlook-export-dialog2.png,a screenshot of the export wizard window.
outlook-task.jpg,this is a screenshot of the software
powerpoint-editor.jpg,a screenshot of a microsoft word document
sap-crm.JPG,the user interface is a screenshot of the user interface.
sap-login.png,a screenshot of the sap login page.
sap-new-entries.jpeg,a screenshot of the entry number of entries
sap-save-dialog.png,save as software update the sap
shotcut-editor.jpg,the top 5 tips for editing photos
superset-dashboard.png,a screenshot of the growth rate dashboard
superset-dashboard2.png,a screenshot of a cell phone description generated with very high confidence
thunderbird-calendar.png,a screenshot of a calendar showing the date of the day.
thunderbird-inbox.png,a screenshot of the email page.
thunderbird-inbox2.png,a screenshot of the software
ubuntu-windows-3-11-emulator.png,the windows windows desktop
vscode-editor-dark.png,a screenshot of the code
vscode-editor-light.jpg,a screenshot of a computer description generated with very high confidence
windows-default-application-dialog.png,a screenshot of the windows default application in windows 10.
windows-registry-editor.jpg,this graphic is explained in the accompanying text
windows-settings-apps-features.png,a screenshot of the app's settings window.
windows-settings.png,a screenshot of the windows settings menu.
windows-start-menu.png,a screenshot of the power and sleep settings settings window
word-editor-2.jpg,a screenshot of a computer description automatically generated
word-editor-macos.png,a screenshot of a text in an essay
word-editor-multicolumn.jpg,the text in the screen is in the same color as the other page
word-editor-old.jpg,the window is open
word-editor.jpg,the song of the blackbird
